orderNo,contact,serviceList,partList,status,createdOn,vertical,totalAmount,subTotal,discount,approved,Final Status
7278,1,|Valet,,ORDER_COMPLETED, Jan,VALET,0,500,500,T,completed
7291,2,|Sensor Scanning/Error Resolution,,ORDER_COMPLETED, Jan,PREVENTIVE,0,500,500,T,completed
7349,3,|Valet|Subject To Dismantling,,CANCELLED, Jan,NON_PREVENTIVE,0,500,500,F,cancelled
7350,4,|Complete Diagnosis,,ORDER_COMPLETED, Jan,DIAGNOSIS,0,1250,1250,T,completed
7351,4,|Complete Diagnosis,,ORDER_COMPLETED, Jan,DIAGNOSIS,0,1250,1250,T,completed
7352,5,|Maintece & Tuning,,ORDER_COMPLETED, Jan,PREVENTIVE,1000,1500,500,T,completed
7353,6,|Parts Delivery,|Kabuli Used Genuine - Front Door Assy vitz -2011-2016|Kabuli Used Genuine - Rear Door LH Vitz 2011-2016|Kabuli Used Genuine - Rear Door Hinges Vitz  2011-2016,CANCELLED, Jan,PARTS_LOGISTICS,34100,34100,0,F,cancelled
7354,7,|Electrical Diagnosis,,CANCELLED, Jan,DIAGNOSIS,0,0,0,T,cancelled
7355,8,|Sensor Replacement,|Kabuli Used Genuine - Oxygen Sensor Mira,CANCELLED, Jan,NON_PREVENTIVE,5121,5121,0,F,cancelled
7356,9,|Wiper Motor Replacement|Belt Replacement|Labour,|Bando Japan - Fan Belt Cultus EFi  2008-2017|Bando Japan - Belt - Ac Belt Cultus EFI |Kabuli Used Genuine - Wiper Motor Cultus EFI,CANCELLED, Jan,NON_PREVENTIVE,5935,5935,0,F,cancelled
7357,10,|Labour,|Unbranded China - Bonnet Cable Mehran|Unbranded China - Bonnet Opener Mehran,CANCELLED, Jan,NON_PREVENTIVE,1645,1645,0,T,cancelled
7358,11,|Mechanical Diagnosis|Electrical Diagnosis,,ORDER_COMPLETED, Jan,DIAGNOSIS,0,500,500,T,completed
7359,12,|Bumper Repair,,CANCELLED, Jan,NON_PREVENTIVE,2500,2500,0,F,cancelled
7360,13,|Mechanical Diagnosis|Scanning And Error Resolution,,ORDER_COMPLETED, Jan,DIAGNOSIS,0,750,750,T,completed
7361,6,|Parts Delivery,|Kabuli Used Genuine - Fog Lamp Corolla 10th Gen,CANCELLED, Jan,PARTS_LOGISTICS,1980,1980,0,F,cancelled
7362,14,|Rework,,ORDER_COMPLETED, Jan,REWORK,0,1,1,T,completed
7363,14,|Maintece & Tuning,,ORDER_COMPLETED, Jan,PREVENTIVE,750,1200,450,T,completed
7364,15,|Mechanical Diagnosis,,ORDER_COMPLETED, Jan,DIAGNOSIS,250,250,0,T,completed
7365,16,|Basic Car Wash,,ORDER_COMPLETED, Jan,CAR_SPA,0,500,500,T,completed
7366,17,|Maintece & Tuning|Brake Master Cylinder Replacement|Suspension Overhaul|Brake Replacement - 2 Tyre |Disc Turning|Brake Service - 2 Tyre|Brake Oil Top Up|SpeedoMeter Service,|Mk -Front Brake Pad city 09-21|Leppon - Air Filter City 2009-2021|Ngk - Spark Plug Iridium City 2009-2021,CANCELLED, Jan,NON_PREVENTIVE,58260,58260,0,F,cancelled
7367,18,|Sensor Replacement|Battery Replacement,|Kabuli Used Genuine - Crank Sensor Swift|Daewoo - Dry Battery DLS 65A,CANCELLED, Jan,NON_PREVENTIVE,14000,14020,20,F,cancelled
7368,19,|Clutch Fly Wheel Facing|Clutch Plate/Pressure Plate/Bearing Replacement |Engine Head Repair,|Valeo - Clutch & Pressure Plate - Cuore|NTN / KOYO Bearing - Clutch Release Bearing Cuore,CANCEL_ON_QUOTATION, Jan,NON_PREVENTIVE,16000,16215,215,F,cancelled
7369,17,|Disc Turning|Brake Service - 4 Tyre|Steering Repair (Dismantle & Repair),,CANCELLED, Jan,NON_PREVENTIVE,6300,6300,0,F,cancelled
7370,20,|Windscreen Replacement,|XYG  - Front Wind Screen Swift 2008-2021,CANCELLED, Jan,NON_PREVENTIVE,11950,11950,0,F,cancelled
7371,21,|Mechanical Diagnosis|Sensor Scanning/Error Resolution|Electrical Diagnosis,,CANCELLED, Jan,DIAGNOSIS,0,1000,1000,T,cancelled
7372,22,|Parts Delivery,|Kabuli Used Genuine - Water coolant sensor  E46,ORDER_COMPLETED, Jan,PARTS_LOGISTICS,2750,2950,200,T,completed
7373,23,|Electrical Diagnosis|Scanning And Error Resolution,,ORDER_COMPLETED, Jan,DIAGNOSIS,0,750,750,T,completed
7374,17,|Engine Replacement/Swap,|Kabuli Used Genuine - Engine Assembly,CANCELLED, Jan,NON_PREVENTIVE,92000,92000,0,F,cancelled
7375,24,|Maintece & Tuning|Catalytic Cleaning|Sensor Scanning/Error Resolution|Mechanical Diagnosis,,ORDER_COMPLETED, Jan,DIAGNOSIS,1750,3150,1400,T,completed
7376,6,|Parts Delivery,|FPI Thailand - Front Bumper With Clips Corolla 10th Gen|FPI Thailand - Rear Bumper With Clips Corolla 10th Gen,CANCELLED, Jan,PARTS_LOGISTICS,11220,11220,0,F,cancelled
7378,25,|Water Body Replacement,|Ravi - Water Pump  Cultus 2000-2007,CANCELLED, Jan,NON_PREVENTIVE,4000,4365,365,T,cancelled
7379,26,|Fuel Injector Service,,CANCELLED, Jan,NON_PREVENTIVE,1000,1000,0,F,cancelled
7380,27,|Brake Service - 4 Tyre|Transmission Oil Change,|Honda Genuine - Gear Oil CVTF 1Liter ,CANCELLED, Jan,PREVENTIVE,9600,9600,0,F,cancelled
7381,28,|Clutch Plate/Pressure Plate/Bearing Replacement |Clutch Fly Wheel Facing,|TSK - Cables & Wires - Clutch Cable Mehran |Dk Japan - Clutch & Pressure Plate Set Mehran |NTN / KOYO Bearing - Clutch Release Bearing Mehran Old ,CANCELLED, Jan,NON_PREVENTIVE,16469,16469,0,F,cancelled
7382,29,|Rework|Engine Head Repair|Fuel Refill,|Ct Taiwan - Gasket - Head Gasket|Ct Taiwan - Gasket - Exhaust Manifold Gasket Every |Caltex - Oil & Addtives - Engine Oil 20W-50 Unpackaged 1Liter |Max - Filters - Oil Filter Every 2004-2012|Kabuli Used Genuine - Bolt With Nut Every ,ORDER_COMPLETED, Jan,NON_PREVENTIVE,2500,4970,2470,T,completed
7383,30,|Electrical Diagnosis,,CANCELLED, Jan,DIAGNOSIS,250,250,0,F,cancelled
7384,31,|Basic Car Wash,,ORDER_COMPLETED, Jan,CAR_SPA,0,500,500,T,completed
